"","Tg","Tg_Detailed","Tg_Detailed_WT","FSC","SSC","Fluorescence","DC1","DC2","DC3","Size_Factor","Pseudotime","State","Type","Color","Component1","Component2","PT1","PT2","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Total_mRNAs"
"CD41_A1","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",35660,144,261,0.0125166479793948,0.0372674876016628,0.0384885203705074,1,16.352122690698,"3","HSPC","#009E73",1.03329440101907,0.195109030988218,0.668365519725668,0.183197343752565,FALSE,FALSE,TRUE,FALSE,FALSE,967969.030574773
"CD41_A2","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",29631,87,65,0.024581733015857,-0.0434699271158888,0.112996456885115,1,17.9703644406215,"3","HSPC","#009E73",2.64386849293547,0.333197436995885,2.26487389643289,0.332365701260432,FALSE,FALSE,TRUE,FALSE,FALSE,862620.127816667
"CD41_A3","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",47461,781,146,-0.287439205987262,-0.189571586208167,-0.182617780730327,1,20.8154316411097,"2","Neutrophils","#E69F00",-5.10135009733334,6.13286132311083,-3.0569286215431,2.96345966596702,FALSE,TRUE,FALSE,FALSE,FALSE,1015090.57963999
"CD41_A4","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",46931,143,77,-0.011912367952285,0.0539279109876687,0.0296642033082289,1,16.2015705693796,"3","HSPC","#009E73",0.876389019035562,0.253111237033237,-0.748220380423846,0.0617300217756883,FALSE,FALSE,TRUE,FALSE,FALSE,942030.229680545
"CD41_A5","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",30128,107,57,-0.00295646844153114,0.0122591810578688,0.0757828855661936,1,16.3596444800088,"3","HSPC","#009E73",1.04027426722831,0.200660203628337,-0.0962220841145942,0.122467873601748,FALSE,FALSE,TRUE,FALSE,FALSE,942661.74747386
"CD41_A6","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",35624,147,257,-0.131463852379222,-0.0444308871978991,-0.047128050429435,1,15.6153244381784,"2","Neutrophils","#E69F00",-2.34114841356156,1.68776432463167,-2.16713184120723,1.03365137014263,FALSE,TRUE,FALSE,FALSE,FALSE,1010732.3066407
"CD41_A7","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",46047,589,57,-0.270436571940702,-0.152086335448154,-0.142778323702454,1,23.4022121271523,"2","Neutrophils","#E69F00",-7.48615703274836,7.48528570099447,-7.03603751501596,7.34068354648121,FALSE,TRUE,FALSE,FALSE,FALSE,904404.896301419
"CD41_A8","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",41522,139,189,-0.0649963526807146,0.24355875037136,0.0129347242881297,1,12.4127967541902,"1","Monocytes","#FF0000",-2.15598735254914,-1.14469211033354,-2.62367890041359,-1.69600466804861,TRUE,FALSE,FALSE,FALSE,FALSE,950779.487075843
"CD41_A9","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",24284,104,161,0.0417974018170272,-0.016030237619967,0.0896321008955437,1,17.8549055128647,"3","HSPC","#009E73",2.52570696195282,0.378274649361362,1.85607845098149,0.29824489520087,FALSE,FALSE,TRUE,FALSE,FALSE,922578.796443478
"CD41_A10","DIM_CD41","Tg(cd41:eGFP)","Tg(cd41:eGFP)",37959,90,135,0.0650273175621402,0.00318196285465473,0.0792473747434902,1,17.4006950036761,"3","HSPC","#009E73",2.0747519291584,0.31446202044481,1.58310315089849,0.272530013992291,FALSE,FALSE,TRUE,FALSE,FALSE,973799.402434455
