"","gene"
"1","ENSDARG00000076182,stat1b,9,protein_coding"
"2","ENSDARG00000000241,slc40a1,9,protein_coding"
"3","ENSDARG00000000796,nr4a1,23,protein_coding"
"4","ENSDARG00000000631,ptpn4a,9,protein_coding"
"5","ENSDARG00000000935,unk,12,protein_coding"
"6","ENSDARG00000001313,g2e3,17,protein_coding"
"7","ENSDARG00000001452,adam8a,13,protein_coding"
"8","ENSDARG00000001558,kifc1,19,protein_coding"
"9","ENSDARG00000011188,acvr2aa,9,protein_coding"
"10","ENSDARG00000000730,slc6a13,6,protein_coding"
"11","ENSDARG00000018956,tmem39b,13,protein_coding"
"12","ENSDARG00000010752,acsl4b,5,protein_coding"
"13","ENSDARG00000016783,srsf6b,11,protein_coding"
"14","ENSDARG00000003307,stx16,6,protein_coding"
"15","ENSDARG00000005108,oclna,10,protein_coding"
"16","ENSDARG00000006235,brms1la,17,protein_coding"
"17","ENSDARG00000021991,erlin1,13,protein_coding"
"18","ENSDARG00000070787,jupa,11,protein_coding"
"19","ENSDARG00000025094,edem1,6,protein_coding"
"20","ENSDARG00000010619,themis,20,protein_coding"
"21","ENSDARG00000006683,arhgef6,14,protein_coding"
"22","ENSDARG00000037030,casz1,23,protein_coding"
"23","ENSDARG00000034871,mid2,14,protein_coding"
"24","ENSDARG00000009868,dcaf11,24,protein_coding"
"25","ENSDARG00000018742,psme4b,12,protein_coding"
"26","ENSDARG00000016263,zdhhc5a,1,protein_coding"
"27","ENSDARG00000037838,unkl,3,protein_coding"
"28","ENSDARG00000056490,SSBP4,,"
"29","ENSDARG00000004830,flot2a,5,protein_coding"
"30","ENSDARG00000005115,calub,18,protein_coding"
"31","ENSDARG00000018263,pdia2,1,protein_coding"
"32","ENSDARG00000004078,acsl4a,14,protein_coding"
"33","ENSDARG00000013655,tpd52l2b,23,protein_coding"
"34","ENSDARG00000019941,hug,11,protein_coding"
"35","ENSDARG00000012747,rer1,8,protein_coding"
"36","ENSDARG00000017905,casp3a,1,protein_coding"
"37","ENSDARG00000010831,churc1,20,protein_coding"
"38","ENSDARG00000012395,mmp13a,10,protein_coding"
"39","ENSDARG00000013144,atp1b1a,6,protein_coding"
"40","ENSDARG00000019137,tram1,24,protein_coding"
"41","ENSDARG00000015623,cecr1b,4,protein_coding"
"42","ENSDARG00000012840,alg9,5,protein_coding"
"43","ENSDARG00000020114,slc20a1a,8,protein_coding"
